"Side-effect","Total","Deaths"
"Eye infection",5,0
"Abscess limb",5,0
"Severe fever with thrombocytopenia syndrome",5,0
"African trypanosomiasis",5,0
"Procedural vomiting",5,0
"Epicondylitis",5,0
"Exposure to extreme temperature",5,0
"Incorrect route of product administration",5,0
"Product dispensing error",5,0
"Back injury",5,0
"Scar",5,0
"Blood pH increased",5,0
"Fibrin D dimer increased",5,0
"Electrocardiogram abnormal",5,0
"Neutrophil count decreased",5,0
"Hyperphagia",5,0
"Polyarthritis",5,0
"Weight bearing difficulty",5,0
"Growing pains",5,0
"Rhabdomyolysis",5,0
"Synovitis",5,0
"Skin papilloma",5,0
"Autonomic nervous system imbalance",5,0
"Embolic stroke",5,0
"Sedation",5,0
"Fine motor skill dysfunction",5,0
"Exertional headache",5,0
"Occipital neuralgia",5,0
"Sensory overload",5,0
"Atonic seizures",5,0
"Psychogenic seizure",5,0
"Pregnancy",5,0
"Aggression",5,0
"Depression suicidal",5,0
"Negative thoughts",5,0
"Time perception altered",5,0
"Burnout syndrome",5,0
"Menopausal symptoms",5,0
"Premenstrual pain",5,0
"Genital burning sensation",5,0
"Cough variant asthma",5,0
"Sinonasal obstruction",5,0
"Pulmonary thrombosis",5,0
"Choking sensation",5,0
"Dermatitis bullous",5,0
"Scar pain",5,0
"Lichen planus",5,0
"Impaired work ability",5,0
"Hospitalisation",5,0
"Localised alternating hot and cold therapy",5,0
"Hypertensive crisis",5,0
"Aortic embolus",5,0
"Leukopenia",4,0
"Splenic infarction",4,0
"Splenic vein thrombosis",4,0
"Heart disease congenital",4,0
"Ear disorder",4,0
"Thyroiditis",4,0
"Cushingoid",4,0
"Growth of eyelashes",4,0
"Eye oedema",4,0
"Extraocular muscle paresis",4,0
"Miosis",4,0
"Xanthopsia",4,0
"Visual brightness",4,0
"Hiatus hernia",4,0
"Gastric ulcer",4,0
"Oesophageal pain",4,0
"Gastric disorder",4,0
"Coeliac disease",4,0
"Enlarged uvula",4,0
"Uvulitis",4,0
"Anaesthesia oral",4,0
"Salivary gland pain",4,0
"Salivary gland enlargement",4,0
"Application site swelling",4,0
"Implant site warmth",4,0
"Infusion site warmth",4,0
"Injection site hypersensitivity",4,0
"Injection site scab",4,0
"Injection site scar",4,0
"Adverse event",4,0
"Vaccination site vesicles",4,0
"Drug withdrawal syndrome",4,0
"Cholelithiasis",4,0
"Liver injury",4,0
"Type III immune complex mediated reaction",4,0
"Food allergy",4,0
"Myelitis",4,0
"Severe acute respiratory syndrome",4,0
"Tooth infection",4,0
"Fungal infection",4,0
"Respiratory tract infection",4,0
"Neutropenic sepsis",4,0
"Dermatitis infected",4,0
"Pustule",4,0
"Chronic sinusitis",4,0
"Pneumonia viral",4,1
"Delayed recovery from anaesthesia",4,0
"Paternal exposure during pregnancy",4,0
"Heat stroke",4,0
"Tendon rupture",4,0
"Wound haemorrhage",4,0
"Toxicity to various agents",4,0
"Product administration error",4,0
"Wrong product administered",4,0
"Limb crushing injury",4,0
"Faecal calprotectin increased",4,0
"Blood insulin",4,0
"Maximum heart rate",4,0
"Alanine aminotransferase increased",4,0
"Blood thyroid stimulating hormone increased",4,0
"Peak expiratory flow rate decreased",4,0
"Chest X-ray",4,0
"Diabetic ketosis",4,0
"Osteoporosis",4,0
"Soft tissue swelling",4,0
"Chronic lymphocytic leukaemia",4,0
"Lymphoma",4,0
"Bronchial carcinoma",4,0
"Lung neoplasm malignant",4,0
"Areflexia",4,0
"Lacunar stroke",4,0
"Central nervous system inflammation",4,0
"Cervicobrachial syndrome",4,0
"Stupor",4,0
"Opisthotonus",4,0
"New daily persistent headache",4,0
"Primary headache associated with sexual activity",4,0
"Intracranial pressure increased",4,0
"Infant irritability",4,0
"Myasthenia gravis",4,0
"Dysaesthesia",4,0
"Paraparesis",4,0
"Paresis",4,0
"Polyneuropathy",4,0
"Gestational diabetes",4,0
"Constricted affect",4,0
"Flat affect",4,0
"Terminal insomnia",4,0
"Hallucination, olfactory",4,0
"Mental disorder",4,0
"Hypnagogic hallucination",4,0
"Exploding head syndrome",4,0
"Libido increased",4,0
"Conversion disorder",4,0
"Disorganised speech",4,0
"Bladder discomfort",4,0
"Cystitis interstitial",4,0
"Nephritis",4,0
"Chronic kidney disease",4,0
"Urinary tract pain",4,0
"Suppressed lactation",4,0
"Uterine spasm",4,0
"Vulval haemorrhage",4,0
"Respiratory distress",4,0
"Sputum discoloured",4,0
"Nasal inflammation",4,0
"Nasal pruritus",4,0
"Sinus disorder",4,0
"Tonsillar erythema",4,0
"Lung disorder",4,0
"Pemphigoid",4,0
"Macule",4,0
"Palmar erythema",4,0
"Vitiligo",4,0
"Erythema nodosum",4,0
"Pigmentation disorder",4,0
"Butterfly rash",4,0
"Dermal cyst",4,0
"Urticaria thermal",4,0
"COVID-19 treatment",4,0
"Limb operation",4,0
"Shock symptom",4,0
"Embolism venous",4,0
"Haemolytic anaemia",3,0
"Mast cell activation syndrome",3,0
"Splenomegaly",3,0
"Bundle branch block left",3,0
"Cardiomyopathy",3,0
"Cardiomegaly",3,0
"Pericardial effusion",3,0
"Hypertrophic cardiomyopathy",3,0
"Cerebral palsy",3,0
"Ehlers-Danlos syndrome",3,0
"Cystic fibrosis",3,0
"Inner ear disorder",3,0
"Adrenal haemorrhage",3,0
"Ovulation delayed",3,0
"Diabetes insipidus",3,0
"Thyroid pain",3,0
"Hyperthyroidism",3,0
"Glaucoma",3,0
"Iritis",3,0
"Blepharitis",3,0
"Eyelid rash",3,0
"Dark circles under eyes",3,0
"Eye ulcer",3,0
"Periorbital pain",3,0
"Neovascular age-related macular degeneration",3,0
"Acute macular outer retinopathy",3,0
"Amaurosis fugax",3,0
"Blindness transient",3,0
"Blindness unilateral",3,0
"Night blindness",3,0
"Sudden visual loss",3,0
"Pancreatitis acute",3,0
"Anal hypoaesthesia",3,0
"Anorectal discomfort",3,0
"Tooth discolouration",3,0
"Faeces hard",3,0
"Faeces pale",3,0
"Gastric haemorrhage",3,0
"Food poisoning",3,0
"Oesophageal spasm",3,0
"Intestinal obstruction",3,0
"Gingival discomfort",3,0
"Gingival ulceration",3,0
"Haemorrhoids thrombosed",3,0
"Aptyalism",3,0
"Saliva altered",3,0
"Oral lichen planus",3,0
"Lip erythema",3,0
"Plicated tongue",3,0
"Scalloped tongue",3,0
"Tongue spasm",3,0
"Administration site reaction",3,0
"Puncture site reaction",3,0
"Phantom shocks",3,0
"Brain death",3,3
"Discharge",3,0
"Foaming at mouth",3,0
"Nonspecific reaction",3,0
"Implant site pain",3,0
"Injection site atrophy",3,0
"Injection site coldness",3,0
"Injection site discolouration",3,0
"Injection site nodule",3,0
"Treatment failure",3,0
"Vaccination site haemorrhage",3,0
"Vaccination site hypersensitivity",3,0
"Vaccination site joint swelling",3,0
"Jaundice cholestatic",3,0
"Hepatic vein thrombosis",3,0
"Liver tenderness",3,0
"Infusion related hypersensitivity reaction",3,0
"Allergy to chemicals",3,0
"Anaphylactoid shock",3,0
"Diverticulitis",3,0
"Dysentery",3,0
"Gastrointestinal infection",3,0
"Lyme disease",3,0
"Tongue abscess",3,0
"Otitis media",3,0
"Fungal skin infection",3,0
"Soft tissue infection",3,0
"Septic rash",3,0
"Urosepsis",3,1
"Viraemia",3,0
"Folliculitis",3,0
"Pharyngitis streptococcal",3,0
"Lymph node tuberculosis",3,0
"Tuberculosis",3,0
"Lymphangitis",3,0
"Viral diarrhoea",3,0
"Joint injury",3,0
"Brain contusion",3,0
"Chest crushing",3,0
"Heat exhaustion",3,0
"Wrong technique in product usage process",3,0
"Arthropod bite",3,0
"Inflammation of wound",3,0
"Product administered to patient of inappropriate age",3,0
"Contraindicated product prescribed",3,0
"Skin injury",3,0
"Skin wound",3,0
"Burn of internal organs",3,0
"Burn oral cavity",3,0
"Heart sounds abnormal",3,0
"Coagulation time",3,0
"Coagulation time prolonged",3,0
"Hormone level abnormal",3,0
"Pulse absent",3,0
"Sinus rhythm",3,0
"Bile output",3,0
"Transaminases increased",3,0
"Blood potassium decreased",3,0
"Tender joint count",3,0
"Intraocular pressure test",3,0
"Breath sounds abnormal",3,0
"Temperature difference of extremities",3,0
"C-reactive protein increased",3,0
"Haemoglobin",3,0
"Anticoagulation drug level above therapeutic",3,0
"White blood cell count increased",3,0
"Hypocalcaemia",3,0
"Fluid overload",3,0
"Sacroiliitis",3,0
"Jaw disorder",3,0
"Osteitis",3,0
"Reynold's syndrome",3,0
"Joint laxity",3,0
"Jaw clicking",3,0
"Muscle mass",3,0
"Muscle contracture",3,0
"Still's disease",3,0
"Synovial cyst",3,0
"Cancer fatigue",3,0
"Hyporeflexia",3,0
"Miller Fisher syndrome",3,0
"Thalamus haemorrhage",3,0
"Thrombotic stroke",3,0
"Cerebrovascular disorder",3,0
"Cerebral venous thrombosis",3,0
"Dyspraxia",3,0
"Vascular dementia",3,0
"Demyelination",3,0
"Consciousness fluctuating",3,0
"Encephalopathy",3,0
"IIIrd nerve paralysis",3,0
"Tongue paralysis",3,0
"Peroneal nerve palsy",3,0
"Uhthoff's phenomenon",3,0
"Stiff leg syndrome",3,0
"Psychomotor skills impaired",3,0
"Exaggerated startle response",3,0
"Slow response to stimuli",3,0
"Tongue biting",3,0
"Reduced facial expression",3,0
"Focal dyscognitive seizures",3,0
"Temporal lobe epilepsy",3,0
"Simple partial seizures",3,0
"Seizure cluster",3,0
"Radiculitis brachial",3,0
"Essential tremor",3,0
"Resting tremor",3,0
"Hyperemesis gravidarum",3,0
"Paramnesia",3,0
"Indifference",3,0
"Bipolar I disorder",3,0
"Eating disorder",3,0
"Factitious disorder",3,0
"Phonophobia",3,0
"Anhedonia",3,0
"Somnambulism",3,0
"Disturbance in sexual arousal",3,0
"Libido decreased",3,0
"Intentional self-injury",3,0
"Tic",3,0
"Bladder irritation",3,0
"Urinary hesitation",3,0
"Urine flow decreased",3,0
"Renal disorder",3,0
"Renal impairment",3,0
"Breast enlargement",3,0
"Breast discomfort",3,0
"Oligomenorrhoea",3,0
"Penile blister",3,0
"Genital blister",3,0
"Genital haemorrhage",3,0
"Genital discomfort",3,0
"Scrotal pain",3,0
"Scrotal swelling",3,0
"Vaginal lesion",3,0
"Vulvovaginal swelling",3,0
"Asthmatic crisis",3,0
"Lung opacity",3,0
"Nasal crusting",3,0
"Interstitial lung disease",3,0
"Pharyngeal erythema",3,0
"Pleural effusion",3,0
"Allergic respiratory symptom",3,0
"Aspiration",3,2
"Respiratory tract congestion",3,0
"Respiratory tract irritation",3,0
"Increased upper airway secretion",3,0
"Idiopathic angioedema",3,0
"Stevens-Johnson syndrome",3,0
"Eczema asteatotic",3,0
"Nail discolouration",3,0
"Onychoclasis",3,0
"Trichodynia",3,0
"Systemic lupus erythematosus rash",3,0
"Cutaneous symptom",3,0
"Needle track marks",3,0
"Idiopathic urticaria",3,0
"Retirement",3,0
"Hormone replacement therapy",3,0
"Aneurysm",3,1
"Aortic aneurysm",3,0
"Internal haemorrhage",3,0
"Vein rupture",3,0
"White coat hypertension",3,0
"Capillary leak syndrome",3,0
"MAGIC syndrome",3,1
"Anaemia vitamin B12 deficiency",2,0
"Abnormal clotting factor",2,0
"Haemolysis",2,0
"Platelet disorder",2,0
"Stress polycythaemia",2,0
"Sickle cell anaemia with crisis",2,0
"Heparin-induced thrombocytopenia",2,0
"Atrioventricular block complete",2,0
"Acute cardiac event",2,1
"Cardiovascular disorder",2,0
"Cardiac failure acute",2,0
"Cardiogenic shock",2,1
"Acute coronary syndrome",2,0
"Arteriospasm coronary",2,0
"Microvascular coronary artery disease",2,0
"Left ventricular dysfunction",2,0
"Pericardial haemorrhage",2,1
"Heart alternation",2,0
"Ventricular extrasystoles",2,0
"Ventricular fibrillation",2,0
"Arnold-Chiari malformation",2,0
"Dysmorphism",2,0
"Ear haemorrhage",2,0
"Deafness transitory",2,0
"Vestibular disorder",2,0
"Inner ear inflammation",2,0
"Thyroid disorder",2,0
"Thyrotoxic crisis",2,0
"Amblyopia",2,0
"Keratitis",2,0
"Erythema of eyelid",2,0
"Eyelid cyst",2,0
"Eyelids pruritus",2,0
"Limbal swelling",2,0
"Eyelid sensory disorder",2,0
"Pupil fixed",2,0
"Pupils unequal",2,0
"Altered visual depth perception",2,0
"Retinal haemorrhage",2,0
"Retinal detachment",2,0
"Scleritis",2,0
"Endocrine ophthalmopathy",2,0
"Anal pruritus",2,0
"Tongue polyp",2,0
"Colitis ischaemic",2,1
"Diverticulum",2,0
"Faecaloma",2,0
"Chronic gastritis",2,0
"Duodenogastric reflux",2,0
"Infrequent bowel movements",2,0
"Bowel movement irregularity",2,0
"Oesophageal achalasia",2,0
"Gastrointestinal tract irritation",2,0
"Abdominal symptom",2,0
"Gastric antral vascular ectasia",2,0
"Intestinal ischaemia",2,0
"Mesenteric vein thrombosis",2,0
"Gingival oedema",2,0
"Inguinal hernia",2,0
"Melaena",2,0
"Eosinophilic oesophagitis",2,0
"Lip haemorrhage",2,0
"Angular cheilitis",2,0
"Coating in mouth",2,0
"Oral mucosal roughening",2,0
"Tongue geographic",2,0
"Trichoglossia",2,0
"Stiff tongue",2,0
"Tongue eruption",2,0
"Tooth loss",2,0
"Administration site erythema",2,0
"Administration site rash",2,0
"Application site burn",2,0
"Instillation site pain",2,0
"Decreased activity",2,0
"Injury associated with device",2,0
"Fibrosis",2,0
"Decreased gait velocity",2,0
"Crepitations",2,0
"Glassy eyes",2,0
"High-pitched crying",2,0
"Ill-defined disorder",2,0
"Irritability postvaccinal",2,0
"Implant site discolouration",2,0
"Implant site swelling",2,0
"Injection site haematoma",2,0
"Injection site irritation",2,0
"Injection site papule",2,0
"Inhibitory drug interaction",2,0
"Mucosal haemorrhage",2,0
"Mucosal inflammation",2,0
"Oedema mucosal",2,0
"Drug intolerance",2,0
"Vaccination site injury",2,0
"Vaccination site lymphadenopathy",2,0
"Vaccination site oedema",2,0
"Vaccination site papule",2,0
"Vaccination site scar",2,0
"Liver disorder",2,0
"Hepatic cirrhosis",2,0
"Allergy to arthropod sting",2,0
"Type IV hypersensitivity reaction",2,0
"Haemophagocytic lymphohistiocytosis",2,0
"Arthritis bacterial",2,0
"Arthritis infective",2,0
"Cavernous sinus thrombosis",2,0
"Coronavirus infection",2,0
"Gingival abscess",2,0
"Oral pustule",2,0
"Tooth abscess",2,0
"Eyelid infection",2,0
"Vulvovaginal mycotic infection",2,0
"Biliary sepsis",2,1
"Herpes simplex reactivation",2,0
"Herpes zoster oticus",2,0
"Infection in an immunocompromised host",2,0
"Vaccination site abscess",2,0
"Secondary transmission",2,0
"Mumps",2,0
"Infected dermal cyst",2,0
"Vaccination site pustule",2,0
"Body tinea",2,0
"Acute sinusitis",2,0
"Upper respiratory tract infection",2,0
"Viral labyrinthitis",2,0
"Oral contusion",2,0
"Hypobarism",2,0
"Vascular injury",2,0
"Subdural haematoma",2,0
"Chemical burn of skin",2,0
"Exposure during pregnancy",2,0
"Exposure to SARS-CoV- 0",2,3
"Joint dislocation",2,0
"Stress fracture",2,0
"Ankle fracture",2,0
"Wrong drug",2,0
"Exposure to noise",2,0
"Procedural pain",2,0
"Alcohol poisoning",2,0
"Poisoning",2,0
"Accidental overdose",2,0
"Contraindicated product administered",2,0
"Extra dose administered",2,0
"Inappropriate schedule of product administration",2,0
"Product storage error",2,0
"Neck injury",2,0
"Skin abrasion",2,0
"Gastrointestinal stoma complication",2,0
"Burns second degree",2,0
"Cold burn",2,0
"Underdose",2,0
"Norepinephrine increased",2,0
"Blood count",2,0
"Full blood count",2,0
"Glycosylated haemoglobin increased",2,0
"Computerised tomogram head",2,0
"Inflammatory marker increased",2,0
"Coagulation time shortened",2,0
"International normalised ratio abnormal",2,0
"Computerised tomogram abdomen",2,0
"Blood insulin decreased",2,0
"Blood insulin increased",2,0
"Computerised tomogram",2,0
"Blood immunoglobulin E increased",2,0
"Immunology test",2,0
"Aspartate aminotransferase increased",2,0
"Gamma-glutamyltransferase increased",2,0
"Liver function test",2,0
"Ubiquinone",2,0
"Blood iron decreased",2,0
"Blood potassium increased",2,0
"Blood sodium",2,0
"Blood sodium decreased",2,0
"Swollen joint count increased",2,0
"Grip strength",2,0
"Lymph node palpable",2,0
"Platelet count increased",2,0
"C-reactive protein abnormal",2,0
"Haematocrit",2,0
"Haemoglobin decreased",2,0
"Pregnancy test",2,0
"Forced expiratory volume",2,0
"Computerised tomogram thorax",2,0
"Anticoagulation drug level below therapeutic",2,0
"Tri-iodothyronine decreased",2,0
"pH urine increased",2,0
"Blood pressure diastolic increased",2,0
"Blood pressure systolic increased",2,0
"SARS-CoV-2 antibody test",2,0
"Viral test",2,0
"Volume blood",2,0
"Neutrophil count",2,0
"Diet refusal",2,0
"Salt craving",2,0
"Alcohol intolerance",2,0
"Histamine intolerance",2,0
"Neonatal insufficient breast milk syndrome",2,0
"Hypoglycaemia unawareness",2,0
"Metabolic acidosis",2,0
"Hyperkalaemia",2,0
"Hypokalaemia",2,0
"Lactose intolerance",2,0
"Palindromic rheumatism",2,0
"Osteonecrosis of jaw",2,0
"Coccydynia",2,0
"Limb deformity",2,0
"Muscle atrophy",2,0
"Muscle disorder",2,0
"Muscle oedema",2,0
"Limb mass",2,0
"Myopathy",2,0
"Spinal osteoarthritis",2,0
"Juvenile idiopathic arthritis",2,0
"Haemangioma",2,0
"Metastasis",2,0
"Metastatic neoplasm",2,0
"Neoplasm malignant",2,1
"Neoplasm recurrence",2,0
"Tonsil cancer",2,0
"Prostate cancer",2,0
"Haemangioma of skin",2,0
"Acute motor axonal neuropathy",2,0
"Cerebellar stroke",2,0
"Cerebral artery occlusion",2,0
"Diabetic neuropathy",2,0
"Diabetic coma",2,0
"Dyslexia",2,0
"Neurologic neglect syndrome",2,0
"Visuospatial deficit",2,0
"Dystonic tremor",2,0
"Noninfective encephalitis",2,0
"Autoimmune encephalopathy",2,0
"Hepatic encephalopathy",2,0
"VIth nerve paralysis",2,0
"Facial nerve disorder",2,0
"Cervicogenic headache",2,0
"External compression headache",2,0
"Hydrocephalus",2,0
"Idiopathic intracranial hypertension",2,0
"Judgement impaired",2,0
"Basilar migraine",2,0
"Mononeuritis",2,0
"Band sensation",2,0
"Fontanelle bulging",2,0
"Neuromuscular pain",2,0
"Neuromyopathy",2,0
"Anaesthesia",2,0
"Hemianaesthesia",2,0
"Autoimmune neuropathy",2,0
"Neuritis",2,0
"Change in seizure presentation",2,0
"Drug withdrawal convulsions",2,0
"Myoclonic epilepsy",2,0
"Seizure like phenomena",2,0
"Central pain syndrome",2,0
"Hypogeusia",2,0
"Loss of proprioception",2,0
"Post herpetic neuralgia",2,0
"Incoherent",2,0
"Language disorder",2,0
"Myelopathy",2,0
"Action tremor",2,0
"Premature labour",2,0
"Stillbirth",2,0
"Unintended pregnancy",2,0
"Device issue",2,0
"Device leakage",2,0
"Product taste abnormal",2,0
"Breath holding",2,0
"Adjustment disorder with depressed mood",2,0
"Affect lability",2,0
"Anxiety disorder",2,0
"Violence-related symptom",2,0
"Bipolar disorder",2,0
"Mutism",2,0
"Catatonia",2,0
"Agitated depression",2,0
"Dyssomnia",2,0
"Emotional poverty",2,0
"Frustration tolerance decreased",2,0
"Agoraphobia",2,0
"Fear of falling",2,0
"Phobia",2,0
"Impulse-control disorder",2,0
"Orgasmic sensation decreased",2,0
"Panic disorder",2,0
"Confusional arousal",2,0
"Rapid eye movements sleep abnormal",2,0
"Sleep-related eating disorder",2,0
"Deja vu",2,0
"Flashback",2,0
"Psychological trauma",2,0
"Logorrhoea",2,0
"Acute stress disorder",2,0
"Hyperarousal",2,0
"Alcohol use disorder",2,0
"Suicidal behaviour",2,0
"Suicide attempt",2,0
"Intrusive thoughts",2,0
"Morbid thoughts",2,0
"Micturition disorder",2,0
"Urinary bladder haemorrhage",2,0
"IgA nephropathy",2,0
"Nephrotic syndrome",2,0
"Renal injury",2,0
"Nephrolithiasis",2,0
"Proteinuria",2,0
"Renal colic",2,0
"Gynaecomastia",2,0
"Erection increased",2,0
"Withdrawal bleed",2,0
"Polycystic ovaries",2,0
"Premature ovulation",2,0
"Penile oedema",2,0
"Penis disorder",2,0
"Peyronie's disease",2,0
"Prostatitis",2,0
"Genital pain",2,0
"Pelvic discomfort",2,0
"Dyspareunia",2,0
"Haematospermia",2,0
"Vaginal ulceration",2,0
"Vulval ulceration",2,0
"Vulvovaginal rash",2,0
"Orthopnoea",2,0
"Respiratory fatigue",2,0
"Obstructive airways disorder",2,0
"Allergic cough",2,0
"Laryngeal oedema",2,0
"Lower respiratory tract congestion",2,0
"Nasal odour",2,0
"Nasal ulcer",2,0
"Paranasal sinus haemorrhage",2,0
"Tonsillar inflammation",2,0
"Pneumothorax",2,0
"Pulmonary hypertension",2,1
"Acute pulmonary oedema",2,0
"Painful respiration",2,0
"Suffocation feeling",2,0
"Respiratory disorder",2,0
"Snoring",2,0
"Throat clearing",2,0
"Hypohidrosis",2,0
"Dyshidrotic eczema",2,0
"Intertrigo",2,0
"Perioral dermatitis",2,0
"Seborrhoeic dermatitis",2,0
"Fixed eruption",2,0
"Dermatitis exfoliative generalised",2,0
"Granuloma annulare",2,0
"Lipoatrophy",2,0
"Lipohypertrophy",2,0
"Onychalgia",2,0
"Henoch-Schonlein purpura",2,0
"Seborrhoea",2,0
"Haemorrhage subcutaneous",2,0
"Decubitus ulcer",2,0
"Skin oedema",2,0
"Cutaneous vasculitis",2,0
"Hypersensitivity vasculitis",2,0
"Chronic spontaneous urticaria",2,0
"Urticarial vasculitis",2,0
"Impaired driving ability",2,0
"Loss of personal independence in daily activities",2,0
"Walking disability",2,0
"Breast feeding",2,0
"Contraindication to vaccination",2,0
"Tobacco user",2,0
"Face lift",2,0
"Central nervous system stimulation",2,0
"Anaphylaxis prophylaxis",2,0
"Ileostomy",2,0
"Anaphylaxis treatment",2,0
"Therapeutic hypothermia",2,0
"Aortic thrombosis",2,1
"Peripheral circulatory failure",2,0
"Bloody discharge",2,0
"Arterial thrombosis",2,0
"Peripheral venous disease",2,0
"Vasospasm",2,0
"Venous thrombosis limb",2,0
"Erythromelalgia",2,0
"Peripheral vascular disorder",2,0
"Intermittent claudication",2,0
"Ischaemic limb pain",2,0
"Peripheral artery occlusion",2,0
"Spider vein",2,0
"Varicophlebitis",2,0
"Systolic hypertension",2,0
"Iron deficiency anaemia",1,0
"Pernicious anaemia",1,0
"Normocytic anaemia",1,0
"Autoimmune haemolytic anaemia",1,0
"Spontaneous haematoma",1,0
"Hypofibrinogenaemia",1,0
"Bone marrow disorder",1,0
"Bone marrow oedema",1,0
"Mastocytosis",1,0
"Methaemoglobinaemia",1,0
"Leukocytosis",1,0
"Lymphocytosis",1,0
"Neutrophilia",1,0
"Lymph node fibrosis",1,0
"Lymphatic disorder",1,0
"Agranulocytosis",1,0
"Autoimmune neutropenia",1,0
"Purpura non-thrombocytopenic",1,0
"Spleen disorder",1,0
"Splenic artery thrombosis",1,0
"Autoimmune heparin-induced thrombocytopenia",1,0
"Thrombocytosis",1,0
"White blood cell disorder",1,0
"Aortic valve stenosis",1,0
"Long QT syndrome",1,0
"Trifascicular block",1,0
"Cardiac ventricular thrombosis",1,1
"Intracardiac thrombus",1,0
"Hypertensive heart disease",1,0
"Carditis",1,0
"Cardiac valve disease",1,1
"Heart valve incompetence",1,0
"Coronary artery disease",1,0
"Coronary artery thrombosis",1,0
"Cardiac failure congestive",1,0
"Cardiopulmonary failure",1,1
"Prinzmetal angina",1,0
"Left ventricular failure",1,1
"Mitral valve incompetence",1,0
"Left ventricular dilatation",1,0
"Myocardial rupture",1,0
"Right ventricular dysfunction",1,0
"Paroxysmal arrhythmia",1,0
"Cor pulmonale",1,0
"Right ventricular failure",1,1
"Sinus arrest",1,0
"Sinus arrhythmia",1,0
"Sinus bradycardia",1,0
"Sinus node dysfunction",1,0
"Supraventricular extrasystoles",1,0
"Pulseless electrical activity",1,0
"Ventricular arrhythmia",1,0
"Syringomyelia",1,0
"Haemophilia",1,0
"Protein S deficiency",1,0
"Porphyria acute",1,0
"Cystic lymphangioma",1,0
"Hydrocele",1,0
"Polydactyly",1,0
"Congenital multiplex arthrogryposis",1,0
"Familial hemiplegic migraine",1,0
"Familial periodic paralysis",1,0
"Muscular dystrophy",1,0
"Hereditary pancreatitis",1,0
"Klippel-Trenaunay syndrome",1,0
"Ear pruritus",1,0
"Otorrhoea",1,0
"Eustachian tube dysfunction",1,0
"Auditory disorder",1,0
"Deafness bilateral",1,0
"Deafness neurosensory",1,0
"Phobic postural vertigo",1,0
"Middle ear effusion",1,0
"Tympanic membrane perforation",1,0
"Thyroiditis chronic",1,0
"Addison's disease",1,0
"Glucocorticoid deficiency",1,0
"Hypopituitarism",1,0
"Goitre",1,0
"Thyroid mass",1,0
"Cataract subcapsular",1,0
"Vitreous haemorrhage",1,0
"Chorioretinopathy",1,0
"Angle closure glaucoma",1,0
"Autoimmune uveitis",1,0
"Anterior capsule contraction",1,0
"Eyelid bleeding",1,0
"Eyelid haematoma",1,0
"Eyelid margin crusting",1,0
"Eyelid skin dryness",1,0
"Eyelid thickening",1,0
"Lagophthalmos",1,0
"Ocular vascular disorder",1,0
"Eye symptom",1,0
"Eyelid disorder",1,0
"Gaze palsy",1,0
"Ocular myasthenia",1,0
"Papilloedema",1,0
"Optic ischaemic neuropathy",1,0
"Lid sulcus deepened",1,0
"Hypermetropia",1,0
"Retinal aneurysm",1,0
"Retinal artery embolism",1,0
"Retinal artery occlusion",1,0
"Retinal vascular thrombosis",1,0
"Retinal vein thrombosis",1,0
"Retinal vein varices",1,0
"Macular degeneration",1,0
"Macular detachment",1,0
"Macular hole",1,0
"Retinal drusen",1,0
"Retinal tear",1,0
"Retinal toxicity",1,0
"Vitreoretinal traction syndrome",1,0
"Macular oedema",1,0
"Retinal exudates",1,0
"Retinopathy",1,0
"Deposit eye",1,0
"Exophthalmos",1,0
"Chloropsia",1,0
"Chromatopsia",1,0
"Scintillating scotoma",1,0
"Visual snow syndrome",1,0
"Optic nerve disorder",1,0
"Abdominal mass",1,0
"Obstructive pancreatitis",1,1
"Pancreatitis chronic",1,0
"Anal fissure",1,0
"Anal paraesthesia",1,0
"Rectal discharge",1,0
"Tongue cyst",1,0
"Autoimmune colitis",1,0
"Colitis microscopic",1,0
"Neutropenic colitis",1,0
"Terminal ileitis",1,0
"Dental caries",1,0
"Diastema",1,0
"Loose tooth",1,0
"Tooth disorder",1,0
"Tooth socket haemorrhage",1,0
"Dental pulp disorder",1,0
"Small intestinal obstruction",1,0
"Duodenal ulcer",1,0
"Gastric ulcer perforation",1,0
"Abdominal migraine",1,0
"Impaired gastric emptying",1,0
"Neurogenic bowel",1,0
"Appendicitis noninfective",1,0
"Hyperchlorhydria",1,0
"Gastrointestinal necrosis",1,0
"Intestinal congestion",1,0
"Mesenteric artery thrombosis",1,0
"Mesenteric venous occlusion",1,0
"Visceral venous thrombosis",1,0
"Gingival hypertrophy",1,0
"Gingival pruritus",1,0
"Haemorrhoidal haemorrhage",1,0
"Intestinal haemorrhage",1,0
"Mesenteric haemorrhage",1,0
"Intestinal perforation",1,0
"Large intestinal stenosis",1,0
"Steatorrhoea",1,0
"Acetonaemic vomiting",1,0
"Faecal vomiting",1,0
"Infantile vomiting",1,0
"Regurgitation",1,0
"Oesophageal obstruction",1,0
"Saliva discolouration",1,0
"Angina bullosa haemorrhagica",1,0
"Chronic cheek biting",1,0
"Leukoplakia oral",1,0
"Lip disorder",1,0
"Lip discolouration",1,0
"Oral mucosal erythema",1,0
"Oedema mouth",1,0
"Proctitis",1,0
"Salivary gland calculus",1,0
"Noninfective sialoadenitis",1,0
"Tongue exfoliation",1,0
"Tongue pruritus",1,0
"Tongue rough",1,0
"Administration site coldness",1,0
"Administration site induration",1,0
"Administration site mass",1,0
"Administration site urticaria",1,0
"Puncture site haemorrhage",1,0
